Input a valid test file ending in .txt: 
token                 lexeme
----------------------------
keyword               function   
identifier            newNumber  
separator             (          
identifier            n          
keyword               integer    
separator             )          
separator             {          
keyword               if         
separator             (          
identifier            n          
operator              ==         
integer               5          
separator             )          
separator             {          
keyword               return     
identifier            n          
operator              *          
integer               5          
separator             ;          
separator             }          
keyword               else       
separator             {          
identifier            n          
operator              -          
operator              =          
integer               1          
separator             ;          
separator             }          
separator             }          
separator             @          
keyword               integer    
identifier            num        
separator             ;          
identifier            num        
operator              =          
integer               9          
separator             ;          
keyword               integer    
identifier            count      
separator             ;          
identifier            count      
operator              =          
integer               0          
separator             ;          
keyword               integer    
identifier            wrong      
separator             ;          
identifier            wrong      
operator              =          
integer               100        
separator             ;          
keyword               while      
separator             (          
identifier            num        
operator              >          
integer               5          
separator             )          
separator             {          
identifier            num        
operator              =          
identifier            newNumber  
separator             (          
identifier            num        
separator             )          
separator             ;          
identifier            count      
operator              +          
operator              =          
integer               1          
separator             ;          
separator             }          
keyword               if         
separator             (          
identifier            num        
operator              >          
identifier            count      
separator             )          
separator             {          
keyword               put        
separator             (          
identifier            wrong      
separator             )          
separator             ;          
separator             }          
keyword               put        
separator             (          
identifier            num        
separator             )          
separator             ;          
keyword               put        
separator             (          
identifier            count      
separator             )          
separator             ;          
separator             @          
